"Ovr","Name","Team","FIN_W1","FIN_W2","FIN_W3","FIN_W4","FIN_W5","FIN_W6","FIN_W7","FIN_W8","FIN_W9","FIN_W10","FIN_W11","FIN_W12","FIN_W13","FIN_W14","FIN_W15","FIN_W16","FIN_W17","FIN_W18"
"0","Taiwan Jones","BUF","","","","","","","","0","","","","","","","","","",""
"41.9","Ty'Son Williams","BLT","18.4","11.3","2.2","","4.1","","5.4","","0","","","0.1","","","","","","0.4"
"33.9","Elijhaa Penny","NYG","0","0.5","0.6","0","0.4","8.6","2.4","2.6","4.7","","0","0","0","8.1","0","6","0","0"
"23.2","Jalen Richard","LV","","","","","1.4","1.3","5.5","","3.8","1.3","","0","","","0","1.9","3.3","4.7"
"127.5","Christian McCaffrey","CAR","27.7","24.7","6","","","","","","14.6","26.1","24.9","3.5","","","","","",""
"208.3","Dalvin Cook","MIN","22.4","16.8","","6.4","","22.3","","7.8","15.2","20.8","20.5","16.3","","35.2","11.1","","4.3","9.2"
"19","Joshua Kelley","LAC","","","","","1.7","0.7","","","2","0.6","","4","0","4.8","2.1","3.1","0",""
"289.9","Joe Mixon","CIN","25","8.1","10.4","13.7","10.5","26.3","11.9","25.1","28","","24.3","32.3","11.4","8.8","7","31.5","15.6",""
"0","Tory Carter","TEN","","","0","0","","0","","0","","0","0","0","","0","","","",""
"13.5","Wayne Gallman","MIN","","","","2.9","0.2","","0.2","","","8.6","-0.3","1.9","","","","","",""
"102.5","Kenyan Drake","LV","12","10.5","8.7","0.2","1.1","21.3","16.9","","16","5.1","3.9","5","1.8","","","","",""
"49.9","Peyton Barber","LV","","3.2","23.2","0","","","","","","","0.3","","1.2","4","5.6","9.2","3.2",""
"3.5","Trey Ragas","LV","","","","","","","","","","","","","","3.5","","","",""
"73.8","Kyle Juszczyk","SF","1.7","3.7","15.1","8.1","6.5","","0","2.1","3.4","1.6","1.7","5.7","4.1","1.5","8.2","7.5","2.9","0"
"255.6","Leonard Fournette","TB","10.9","11.6","6.4","16.9","21","30.7","17","7.3","","17.2","13.4","44.1","22.2","23.2","13.7","","",""
"177.9","James Robinson","JAX","8.4","9.4","25.4","20.6","21.7","19.1","","4.9","","18.4","11.8","14.5","4.5","0.4","17.8","1","",""
"26.6","Adrian Peterson","SEA","","","","","","","","","9.6","3","6.4","","7.6","","","","",""
"60.1","DeeJay Dallas","SEA","2","","","0","5.9","10","0","0.6","","","9.7","8.1","0","1.6","14.2","7.8","0.1","0.1"
"13.1","Benny Snell Jr.","PIT","","0.1","0","0","2","","","1.7","0.6","0.4","0.7","0.5","1.3","-0.2","","3.6","0.2","2.2"
"21.7","Qadree Ollison","ATL","","","","","","","","","","","5.4","","2.5","2.3","1.7","0","1.9","7.9"
"196","Darrel Williams","KC","0.4","5.8","5.9","13.8","7.5","23.9","8","17","10.7","29.4","3.6","","11","12.9","1.2","11.5","25.7","7.7"
"110.6","Mark Ingram II","NO","14.5","5","3","2.4","4.1","10.1","5.7","7.2","11.4","20.8","17.3","","3.6","","3.8","1.7","",""
"35.2","Craig Reynolds","DET","","","","","","","","","","","","","","11.9","12.7","8.1","2.3","0.2"
"0.4","Trenton Cannon","SF","0.5","-0.1","","0","","","","","","","","","","","","","",""
"49.8","Chris Evans","CIN","","2.4","4.6","0","3.5","15.7","","","2.1","","1.7","3.8","","","0","0.1","0","15.9"
"104.1","D'Ernest Johnson","CLV","","0","0.9","","","1.9","24.8","9.9","1.6","22.7","2.6","0","","3.9","5.5","7.6","2.4","20.3"
"5.3","Jaylen Samuels","HST","","","","","","","","","","","","","0.2","","","0","5.1",""
"0","Artavis Pierce","CHI","","","","","","0","","","","","","","","","","","",""
"17.2","Patrick Taylor Jr.","GB","","","","","","","","","","0.7","1.1","","","0","","","1.8","13.6"
"28.9","Corey Clement","DAL","0","0","0","","","","","","0","3.5","","","","5.6","","1.8","","18"
"8.7","Wendell Smallwood","WAS","","","","","","","","","","","","","4.5","","","","4.2",""
"44.7","Matt Breida","BUF","0.4","0","","","","","","","","20","7.7","13.5","1.8","1.2","0.1","","","0"
