"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"117","Wayne Gallman","MIN","","","","59","79","","72","","","34","98","66","","","","","",""
"55","Kenyan Drake","LV","26","25","33","80","74","9","12","","12","45","44","44","60","","","","",""
"81","Peyton Barber","LV","","58","6","84","","","","","","","78","","64","44","47","30","57",""
"149","Trey Ragas","LV","","","","","","","","","","","","","","49","","","",""
"65","Kyle Juszczyk","SF","68","54","22","42","43","","75","67","55","63","63","43","44","60","31","41","60","83"
"6","Leonard Fournette","TB","30","21","42","14","14","2","11","42","","15","16","1","5","6","15","","",""
"24","James Robinson","JAX","38","28","4","8","12","12","","50","","12","18","18","41","66","6","78","",""
"100","Adrian Peterson","SEA","","","","","","","","","35","53","34","","32","","","","",""
"70","DeeJay Dallas","SEA","66","","","84","48","28","75","77","","","21","33","71","58","14","36","81","82"
"118","Benny Snell Jr.","PIT","","84","82","84","64","","","70","70","74","70","76","63","87","","52","78","66"
"106","Qadree Ollison","ATL","","","","","","","","","","","38","","54","56","69","89","68","38"
"21","Darrel Williams","KC","81","45","45","22","40","7","33","16","28","1","46","","24","19","72","23","3","40"
"49","Mark Ingram II","NO","19","47","58","60","52","27","38","43","24","8","11","","47","","58","75","",""
"91","Craig Reynolds","DET","","","","","","","","","","","","","","24","18","34","66","80"
"166","Trenton Cannon","SF","79","104","","84","","","","","","","","","","","","","",""
"82","Chris Evans","CIN","","63","49","84","55","18","","","60","","63","51","","","79","88","83","17"
"53","D'Ernest Johnson","CLV","","85","69","","","53","4","31","62","6","55","78","","46","48","39","64","9"
"138","Jaylen Samuels","HST","","","","","","","","","","","","","69","","","89","45",""
"168","Artavis Pierce","CHI","","","","","","70","","","","","","","","","","","",""
"113","Patrick Taylor Jr.","GB","","","","","","","","","","70","68","","","70","","","70","20"
"97","Corey Clement","DAL","87","85","82","","","","","","75","52","","","","38","","73","","14"
"129","Wendell Smallwood","WAS","","","","","","","","","","","","","41","","","","50",""
"85","Matt Breida","BUF","81","85","","","","","","","","11","27","19","60","64","78","","","83"
