player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Carson Wentz,10636,QB,IND,17,30,8,0,0.0,0,0,26,0,0,0,11,0.0,8,21,14,8,2,46.4,70.9,69.2,67.9,,,73.6,60.4,18,4,0,0,0,467,189,27,0,30,1,215,128,2.25,3.8,,4
Dontrell Hilliard,45691,HB,TEN,8,56,12,6,48.9,171,0,350,3,1,12,193,57.4,11,15,31,2,20,32.9,59.9,84.0,,31.7,44.3,69.2,58.1,68,0,100,22,120,69,0,0,28,78,2,350,193,3.45,6.3,0.83,31
Royce Freeman,45747,HB,HST,13,56,6,0,0.0,0,0,169,1,1,6,142,26.9,2,8,13,0,30,84.4,58.0,83.8,,58.9,49.3,63.4,41.3,13,0,77,10,115,65,0,0,14,66,0,169,142,2.54,3.0,0.67,25
Nyheim Hines,48103,HB,IND,17,56,14,3,28.3,78,0,276,2,8,14,155,63.4,6,15,14,1,20,73.0,72.7,87.7,,47.1,74.3,71.8,57.0,34,0,310,40,204,93,0,0,53,96,2,276,155,2.77,4.9,1.52,29
Craig Reynolds,94383,HB,DET,5,55,12,3,33.9,78,0,230,0,2,12,213,87.4,4,11,11,0,31,83.9,76.5,79.5,,58.3,67.9,75.6,60.2,35,0,52,7,48,63,0,0,8,62,0,230,213,3.87,4.2,1.08,23
Peyton Barber,10927,HB,LV,9,55,11,3,30.7,65,0,212,1,2,11,194,70.5,6,12,23,2,26,28.5,68.6,79.2,,85.8,65.3,66.6,60.0,27,0,67,10,44,65,0,0,13,65,2,212,194,3.53,3.9,1.52,29
Derrick Gore,32342,HB,KC,10,54,4,2,28.6,74,0,259,0,3,4,178,37.2,5,12,16,0,25,83.8,76.0,82.2,,75.2,76.0,72.2,59.1,51,0,105,8,48,67,0,0,9,62,2,259,178,3.3,4.8,2.19,29
Salvon Ahmed,57472,HB,MIA,12,54,4,1,10.7,16,0,149,2,3,4,108,21.2,3,8,17,0,17,84.0,56.6,84.2,,43.3,63.5,56.6,37.5,16,0,117,12,87,62,0,0,18,66,0,149,108,2.0,2.8,1.34,34
Tony Jones Jr.,40498,HB,NO,10,54,5,0,0.0,0,0,142,0,0,5,109,17.1,1,7,20,0,17,83.9,63.9,79.5,,88.9,58.0,62.5,60.8,11,0,29,5,50,65,0,0,7,59,0,142,109,2.02,2.6,0.58,36
Chris Carson,12004,HB,SEA,4,54,10,2,27.2,63,0,232,0,6,10,165,81.5,2,11,29,1,21,49.1,70.7,2.5,,35.0,58.1,75.0,59.4,33,1,29,6,55,61,0,0,6,60,3,232,165,3.06,4.3,0.53,31
